CVE,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT
CVE-2022-20051,incorrect privilege assignment,,denial of service,,,Android,,ims service
CVE-2022-20099,improper input validation,out of bounds write,local escalation of privilege,,,Android,,aee daemon
CVE-2022-20109,improper update of reference count,use after free,local escalation of privilege,,,Android,,ion
CVE-2022-20132,improper input validation,out of bounds read,local information disclosure,malicious USB HID device,,Android kernel,,USB HID files
CVE-2022-20153,improper locking,use-after-free,local escalation of privilege,,,Android kernel,,rcu_segcblist.c
CVE-2022-2019,improper authorization,,,,,SourceCodester Prison Management System,1,/classes/Users.php?f=save
CVE-2022-20221,improper input validation,out of bounds read,remote information disclosure,,,Android,10|11|12|12L,avrc_pars_ct.cc
CVE-2022-20226,improper input validation,,tapjacking|local escalation of privilege,,,Android,12|12L,WindowManagerService.java
CVE-2022-2023,incorrect use of privileged APIs,,,,,polonel/trudesk,prior to 1.2.4,
CVE-2022-20231,improper input validation,out of bounds write,local escalation of privilege,,,Android kernel,,arm_gic.c
CVE-2022-20253,uncaught exception,,remote denial of service,,,Android,13,Bluetooth
CVE-2022-20369,improper input validation,out of bounds write,local escalation of privilege,,,Android kernel,,v4l2-mem2mem.c
CVE-2022-2037,excessive attack surface,,,,,tooljet/tooljet,prior to v1.16.0,
CVE-2022-20376,improper locking,use after free,local escalation of privilege,,,Android kernel,,trusty-log.c
CVE-2022-20414,uncaught exception,,local denial of service,,,Android,10|11|12|12L|13,AlarmManagerService.java
CVE-2022-20427,improper input validation,,local escalation of privilege,,,Android kernel,,
CVE-2022-20445,improper input validation,out of bounds read,remote information disclosure,,,Android,10|11|12|12L|13,sdp_discovery.cc
CVE-2022-20460,improper input validation,,local escalation of privilege,,,Android kernel,,
CVE-2022-20500,uncaught exception,,local denial of service,,,Android,10|11|12|12L|13,ShortcutPackage.java
CVE-2022-20548,improper input validation,out of bounds write,local escalation of privilege,,,Android,13,EqualizerEffect.cpp
CVE-2022-20582,improper input validation,out of bounds write,local escalation of privilege,,,Android kernel,,drm_fw.c
CVE-2022-20583,improper input validation,out of bounds write,local escalation of privilege,,,Android kernel,,drm_fw.c
CVE-2022-2062,generation of error message containing sensitive information,,,,,nocodb/nocodb,prior to 0.91.7+,
CVE-2022-20736,improper authorization,,access configuration file|access administrative console login page,crafted HTTP request,unauthenticated remote attacker,Cisco AppDynamics Controller Software,,web-based management interface
CVE-2022-20824,improper input validation,,execute arbitrary code with root privileges|denial of service,malicious Cisco Discovery Protocol packet,unauthenticated adjacent attacker,Cisco FXOS Software|Cisco NX-OS Software,,Cisco Discovery Protocol
CVE-2022-20934,improper input validation,,execute arbitrary commands on underlying operating system,injecting operating system commands into legitimate command,authenticated local attacker,Cisco Firepower Threat Defense Software|Cisco FXOS Software,,CLI
CVE-2022-2095,improper access control,,view public project's Deploy Key's public fingerprint and name,,,GitLab CE/EE,13.7 to 15.0.5|15.1 to 15.1.4|15.2 to 15.2.1,
CVE-2022-21128,insufficient control flow management,,escalation of privilege,local access,authenticated user,Intel(R) Advisor,before version 7.6.0.37,
CVE-2022-21140,improper access control,,information disclosure,local access,privileged user,Intel(R) PROSet/Wireless WiFi|Killer(TM) WiFi products,,
CVE-2022-21148,improper access control,,escalation of privilege,local access,authenticated user,Intel(R) Edge Insights for Industrial,before version 2.6.1,
CVE-2022-21151,processor optimization removal or modification of security-critical code,,information disclosure,local access,authenticated user,Intel(R) Processors,,
CVE-2022-21153,improper access control,,information disclosure,local access,authenticated user,Intel(R) Capital Global Summit Android application,,
CVE-2022-21157,improper access control,,information disclosure,local access,authenticated user,Intel(R) Smart Campus Android application,before version 6.1,
CVE-2022-21173,hidden functionality,,execute arbitrary OS command,unspecified vectors,attacker on adjacent network,ELECOM LAN routers,,
CVE-2022-21174,improper access control,,escalation of privilege,local access,authenticated user,Intel(R) Quartus(R) Prime Pro Edition,before version 21.3,third-party component
CVE-2022-21216,insufficient granularity of access control,,escalation of privilege,adjacent network access,privileged user,Intel(R) Atom|Intel Xeon Scalable Processors,,out-of-band management
CVE-2022-21218,uncaught exception,,information disclosure,local access,authenticated user,Intel(R) Trace Analyzer and Collector,before version 2021.5,
CVE-2022-2124,,buffer over-read,,,,vim/vim,prior to 8.2,
CVE-2022-21676,uncaught exception,,denial of service,specially crafted HTTP request,,Engine.IO,4.0.0 to 6.1.0,
CVE-2022-2178,improper neutralization of input,cross-site scripting,,,,,Saysis Computer Starcities,before 1.1
CVE-2022-21793,insufficient control flow management,,denial of service,local access,authenticated user,Intel(R) Ethernet 500 Series Controller drivers for VMWare|Intel(R) Ethernet 700 Series Controller drivers for VMWare,before version 1.11.4.0 for 500 Series|before version 2.1.5.0 for 700 Series,
CVE-2022-21812,improper access control,,escalation of privilege,local access,authenticated user,Intel(R) HAXM,before version 7.7.1,
CVE-2022-21813,improper handling of insufficient permissions or privileges,,denial of service,,,NVIDIA GPU Display Driver for Linux,,kernel driver
CVE-2022-21814,improper handling of insufficient permissions or privileges,,denial of service,,,NVIDIA GPU Display Driver for Linux,,kernel driver package
CVE-2022-21825,improper access control,,local privilege escalation,,,Citrix Workspace App for Linux,2012 - 2111,App Protection
CVE-2022-21940,sensitive cookie in HTTPS session without 'Secure' attribute,,access to the cookie,,,Johnson Controls System Configuration Tool,version 14 prior to 14.2.3|version 15 prior to 15.0.3,
CVE-2022-21944,UNIX symbolic link following,,escalation to root,,,openSUSE Backports SLE-15-SP3|openSUSE Factory,prior to 4.9.0 for Backports|prior to 4.9.0-9.1 for Factory,watchman
CVE-2022-22091,improper authorization,,denial of service,replayed LTE security mode command,,Snapdragon Auto|Snapdragon Compute|Snapdragon Connectivity|Snapdragon Consumer IOT|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Wearables,,
CVE-2022-22154,external control of critical state data,,denial of service,physical changes to cabling,attacker with physical access,Juniper Networks Junos OS,16.1R1 to 18.4R3-S10|19.1 to 19.1R3-S7|19.2 to 19.2R3-S4,Satellite Device control state machine
CVE-2022-22166,improper validation of specified quantity in input,,denial of service,malformed BGP SR-TE policy tunnel attribute,unauthenticated networked attacker,Juniper Networks Junos OS,20.4 to 20.4R3-S1|21.1 to 21.1R2-S2|21.1R3,routing protocol daemon
CVE-2022-22176,improper validation of syntactic correctness of input,,denial of service,malformed DHCP packet,adjacent unauthenticated attacker,Juniper Networks Junos OS,13.2R1 to 15.1R7-S11|18.3 to 18.3R3-S6|18.4 to 18.4R3-S10|19.1 to 19.1R3-S7|19.2 to 19.2R3-S4|19.3 to 19.3R3-S4|19.4 to 19.4R3-S6|20.1 to 20.1R3-S3|20.2 to 20.2R3-S3|20.3 to 20.3R3-S1|20.4 to 20.4R3|21.1 to 21.1R3|21.2 to 21.2R2,Juniper DHCP daemon
CVE-2022-22179,improper validation of specified index|position|offset in input,,denial of service,DHCPv4 packet with specific options,adjacent unauthenticated attacker,Juniper Networks Junos OS,17.4R1 to 18.4R3-S10|19.1 to 19.1R3-S7|19.2 to 19.2R3-S4|19.3 to 19.3R3-S4|19.4 to 19.4R3-S6|20.1 to 20.1R3-S2|20.2 to 20.2R3-S3|20.3 to 20.3R3-S2|20.4 to 20.4R3-S1|21.1 to 21.1R3|21.2 to 21.2R3|21.3 to 21.3R2,Juniper DHCP daemon
CVE-2022-22190,improper access control,,generate PDF reports containing sensitive configuration information,crafted URL,unauthenticated attacker,Juniper Networks Paragon Active Assurance,3.1.0,Control Center
CVE-2022-22192,improper validation of syntactic correctness of input,,denial of service,malformed TCP packet,network-based unauthenticated attacker,Juniper Networks Junos OS Evolved,20.4-EVO to 20.4R3-S4-EVO|21.3-EVO to 21.3R3-EVO|21.4-EVO to 21.4R3-EVO|22.1-EVO to 22.1R2-EVO,kernel
CVE-2022-22201,improper validation of specified index|position|offset in input,,denial of service,malformed ESP packet,unauthenticated network-based attacker,Juniper Networks Junos OS,prior to 19.4R2-S6|19.4R3-S7|20.1 to 20.1R3-S3|20.2 to 20.2R3-S4|20.3 to 20.3R3-S3|20.4 to 20.4R3-S2|21.1 to 21.1R3|21.2 to 21.2R3|21.3 to 21.3R2,Packet Forwarding Engine
CVE-2022-22221,improper neutralization of special elements,,take full control over device,execute request or show system download commands,locally authenticated attacker with low privileges,Juniper Networks Junos OS,prior to 19.2R1-S9|19.2R3-S5|19.3 to 19.3R3-S6|19.4 to 19.4R3-S8|20.1 to 20.1R3-S4|20.2 to 20.2R3-S4|20.3 to 20.3R3-S3|20.4 to 20.4R3-S3|21.1 to 21.1R3-S1|21.2 to 21.2R3|21.3 to 21.3R3|21.4 to 21.4R2,download manager
CVE-2022-22223,improper validation of specified index|position|offset in input,,denial of service,certain IP packets,attacker,Juniper Networks Junos OS,prior to 15.1R7-S11|18.4 to 18.4R3-S10|19.1 to 19.1R3-S8|19.2 to 19.2R3-S4|19.3 to 19.3R3-S5|19.4 to 19.4R3-S7|20.1 to 20.1R3-S3|20.2 to 20.2R3-S3|20.3 to 20.3R3-S2|20.4 to 20.4R3-S4|21.1 to 21.1R3|21.2 to 21.2R3-S3|21.3 to 21.3R3-S1,
CVE-2022-22231,unchecked return value to null pointer dereference,,denial of service,specific valid transit traffic,,Juniper Networks Junos OS,21.4 to 21.4R2,Packet Forwarding Engine
CVE-2022-22233,unchecked return value to null pointer dereference,,denial of service,specific low privileged CLI command,locally authenticated attacker with low privileges,Juniper Networks Junos OS|Junos OS Evolved,21.4 to 21.4R3|22.1 to 22.1R2,Routing Protocol Daemon
CVE-2022-22234,improper preservation of consistency between independent representations of shared state,,denial of service,executing series of show commands,locally authenticated attacker with low privileges,Juniper Networks Junos OS,prior to 18.4R3-S11|19.1 to 19.1R3-S9|19.2 to 19.2R3-S5|19.3 to 19.3R3-S6|19.4 to 19.4R3-S8|20.1 to 20.1R3-S4|20.2 to 20.2R3-S4|20.3 to 20.3R3-S4|20.4 to 20.4R3-S3|21.1 to 21.1R3-S1|21.2 to 21.2R3|21.3 to 21.3R2|21.4 to 21.4R2,Packet Forwarding Engine
CVE-2022-22239,execution with unnecessary privileges,,escalate privileges on device and potentially remote systems,ssh operational command,locally authenticated attacker with low privileges,Juniper Networks Junos OS Evolved,prior to 20.4R3-S5-EVO|21.1-EVO to 21.1R3-EVO|21.2-EVO to 21.2R3-EVO|21.3-EVO to 21.3R2-EVO,Management Daemon
CVE-2022-22241,improper input validation,,unauthorized local file access|execute arbitrary commands,crafted POST request,unauthenticated attacker,Juniper Networks Junos OS,prior to 19.1R3-S9|19.2 to 19.2R3-S6|19.3 to 19.3R3-S7|19.4 to 19.4R3-S9|20.1 to 20.1R3-S5|20.2 to 20.2R3-S5|20.3 to 20.3R3-S5|20.4 to 20.4R3-S4|21.1 to 21.1R3-S2|21.2 to 21.2R3-S1|21.3 to 21.3R3|21.4 to 21.4R3|22.1 to 22.1R2,J-Web component
CVE-2022-22243,improper input validation,xpath injection,partial loss of confidentiality,add XPath command to XPath stream,authenticated attacker,Juniper Networks Junos OS,prior to 19.1R3-S9|19.2 to 19.2R3-S6|19.3 to 19.3R3-S7|19.4 to 19.4R3-S8|20.1 to 20.1R3-S5|20.2 to 20.2R3-S5|20.3 to 20.3R3-S5|20.4 to 20.4R3-S4|21.1 to 21.1R3-S2|21.2 to 21.2R3-S1|21.3 to 21.3R3|21.4 to 21.4R3|22.1 to 22.1R2,J-Web component
CVE-2022-22251,improper permissions|storing passwords in recoverable format,,elevate permissions|take control of cSRX software deployment,,local low-privileged attacker,Juniper Networks Junos OS,20.2R1 to 21.2R1,cSRX Series container filesystem
CVE-2022-22265,improper handling of exceptional conditions,,arbitrary memory write|code execution,,,NPU driver,prior to SMR Jan-2022 Release 1,
CVE-2022-22272,improper authorization,,get IMSI without proper permission,,,TelephonyManager,prior to SMR Jan-2022 Release 1,
CVE-2022-22273,improper neutralization of special elements,os command injection,,,,,Secure Remote Access|Secure Mobile Access,8.x|9.0.0.5-19sv and earlier|9.0.0.9-26sv and earlier
CVE-2022-22280,improper neutralization of special elements,sql injection,,,unauthenticated attacker,SonicWall GMS|Analytics On-Prem,9.3.1-SP2-Hotfix1|2.5.0.3-2520 and earlier,
CVE-2022-22282,improper access control,,,,unauthorized actor,SonicWall SMA1000 series,12.4.0|12.4.1-02965 and earlier,firmware
CVE-2022-22288,improper authorization,,remote app installation of allowlist,,,Galaxy Store,prior to 4.5.36.5,
CVE-2022-2229,improper authorization,,extract value of unprotected variable,,attacker,GitLab CE/EE,13.7 to 14.10.5|15.0 to 15.0.4|15.1 to 15.1.1,
CVE-2022-22291,logging of excessive data,,get Cell Location Information,log of user device,privileged attackers,telephony,prior to SMR Feb-2022 Release 1,
CVE-2022-22300,improper handling of insufficient permissions or privileges,,bypass device policy|force password-change action,,attacker,Fortinet FortiAnalyzer|FortiManager,5.6.0 to 7.0.2,
CVE-2022-22301,improper neutralization of special elements,os command injection,execute unauthorized commands,running CLI commands with crafted arguments,authenticated attacker,FortiAP-C console,5.4.0 to 5.4.3|5.2.0 to 5.2.1,
CVE-2022-2244,improper authorization,,manage issues in project's error tracking feature,,project members with reporter role,GitLab EE/CE,14.8 to 14.10.5|15.0 to 15.0.4|15.1 to 15.1.1,
CVE-2022-22483,improper privilege management,,information disclosure,CREATE OR REPLACE command,,IBM Db2 for Linux|UNIX|Windows,9.7|10.1|10.5|11.1|11.5,
CVE-2022-22509,incorrect privilege assignment,,full access to device configuration,,low privileged user,Phoenix Contact FL SWITCH Series 2xxx,3,
CVE-2022-22554,unprotected storage of credentials,,disclosure of user passwords,,local attacker with user privileges,Dell EMC System Update,1.9.2 and prior,
CVE-2022-22562,improper handling of missing values,,denial of service,,unauthenticated network attacker,Dell PowerScale OneFS,8.2.0-9.3.0,
CVE-2022-22680,exposure of sensitive information,,obtain sensitive information,,remote attackers,Synology DiskStation Manager,before 7.0.1-42218-2,Web Server
CVE-2022-22684,improper neutralization of special elements,os command injection,execute arbitrary commands,,remote authenticated users,Synology DiskStation Manager,before 6.2.4-25553,task management component
CVE-2022-22688,improper neutralization of special elements,command injection,execute arbitrary commands,,remote authenticated users,Synology DiskStation Manager,before 6.2.4-25556-2,File service functionality
CVE-2022-22816,,buffer over-read,,,,Pillow,before 9.0.0,path_getbbox in path.c
CVE-2022-22951,improper input validation,os command injection,remote code execution,network access,authenticated high privileged malicious actor,VMware Carbon Black App Control,8.5.x prior to 8.5.14|8.6.x prior to 8.6.6|8.7.x prior to 8.7.4|8.8.x prior to 8.8.2,administration interface
CVE-2022-22983,unprotected storage of credentials,,disclosure of user passwords,,,VMware Workstation,16.x prior to 16.2.4,
CVE-2022-2301,,buffer over-read,,,,hpjansson/chafa,prior to 1.10.3,
CVE-2022-25987,improper handling of Unicode encoding,,escalation of privilege,network access,unauthenticated user,Intel(R) C++ Compiler Classic,before version 2021.6,
CVE-2022-25992,insecure inherited permissions,,escalation of privilege,local access,authenticated user,Intel(R) oneAPI Toolkits oneapi-cli,before version 0.2.0,
CVE-2022-26017,improper access control,,escalation of privilege,adjacent access,authenticated user,Intel(R) DSA software,before version 22.2.14,
CVE-2022-2637,incorrect privilege assignment,,privilege escalation,,remote authenticated users,Hitachi Storage Plug-in for VMware vCenter,from 04.8.0 before 04.9.0,
CVE-2022-2639,integer coercion error,,crash|escalate privileges,,,openvswitch kernel module,,
CVE-2022-26446,improper input validation,,remote denial of service,improper SIB12 concatenation,,Modem 4G RRC,,
CVE-2022-26451,improper locking,use after free,local escalation of privilege,,,ged,,
CVE-2022-2661,improper authorization,,perform administrative functions,specifically crafted requests,low-privileged user,Sequi PortBloque S,,
CVE-2022-26635,improper NULL termination,CLRF injection,,,,PHP-Memcached,v2.2.0 and below,
CVE-2022-26841,insufficient control flow management,,information disclosure,local access,authenticated user,Intel(R) SGX SDK software for Linux,before version 2.16.100.1,
CVE-2022-26857,improper authorization,,bypass blocked functionalities|perform unauthorized actions,,remote authenticated malicious user with low privileges,Dell OpenManage Enterprise,3.8.3 and prior,
CVE-2022-26949,improper access control,,gain access to restricted files,,,Archer,6.x through 6.9 SP2 P1 (6.9.2.1),
CVE-2022-27170,protection mechanism failure,,escalation of privilege,local access,authenticated user,Intel(R) Media SDK software,before version 22.2.2,
CVE-2022-27176,incomplete filtering of special elements,,execute malicious macro,download|import|open specially crafted file,attacker,RevoWorks SCVX|RevoWorks Browser|RevoWorks Desktop,,File Sanitization Library
CVE-2022-27490,,exposure of sensitive information,obtain sensitive information,diagnose debug commands,attacker with restricted administrative account,Fortinet FortiManager|FortiAnalyzer|FortiPortal|FortiSwitch,,
CVE-2022-27491,improper verification of source of communication channel,,send blocked page HTML data to arbitrary victim,crafted TCP requests,remote unauthenticated attacker,Fortinet FortiOS,,IPS engine
CVE-2022-27499,premature release of resource,,information disclosure,local access,privileged user,Intel(R) SGX SDK software,,
CVE-2022-27523,,buffer over-read,exposure of sensitive information|crash,maliciously crafted DWG file,,Autodesk TrueView,2022,
CVE-2022-27573,improper input validation,out of bounds write,,,privileged attackers,libsimba library,prior to SMR Apr-2022 Release 1,parser_infe and sheifd_find_itemIndexin functions
CVE-2022-27574,improper input validation,out of bounds write,,,privileged attacker,libsimba library,prior to SMR Apr-2022 Release 1,parser_iloc and sheifd_find_itemIndexin functions
CVE-2022-27607,,heap-based buffer over-read,,,,Bento4,1.6.0-639,AP4_HvccAtom class
CVE-2022-27639,incomplete cleanup,,escalation of privilege,adjacent access,privileged user,Intel(R) XMM(TM) 7560 Modem software,before version M2_7560_R_01.2146.00,
CVE-2022-27807,improper input validation,,disable adding Categories,,remote authenticated attacker,Cybozu Garoon,4.0.0 to 5.5.1,Link
CVE-2022-27808,insufficient control flow management,,escalation of privilege,local access,authenticated user,Intel(R) Ethernet Controller Administrative Tools drivers for Windows,before version 1.5.0.2,
CVE-2022-27833,improper input validation,out-of-bounds write,,,,,DSP driver,prior to SMR Apr-2022 Release 1
CVE-2022-27838,improper access control,,access file with system privilege,,,FactoryCamera,prior to version 2.1.96,
CVE-2022-28128,untrusted search path,,gain privileges|execute arbitrary code,Trojan horse DLL,attacker,AttacheCase,ver.3.6.1.0 and earlier,
CVE-2022-28244,violation of secure design principles,bypass content security policy,send arbitrarily configured requests to cross-origin attack target domain,crafted PDF file on attacker's server,attacker,Adobe Acrobat Reader DC,22.001.20085 and earlier|20.005.3031x and earlier|17.012.30205 and earlier,
CVE-2022-28692,improper input validation,,alter data of Scheduler,,remote authenticated attacker,Cybozu Garoon,4.0.0 to 5.5.1,Scheduler
CVE-2022-28704,improper access control,,log in with root privilege|perform arbitrary operation,,,Rakuten Casa,AP_F_V1_4_1 or AP_F_V2_0_0,
CVE-2022-28739,,buffer over-read,,,,Ruby,before 2.6.10|2.7.x before 2.7.6|3.x before 3.0.4|3.1.x before 3.1.2,String-to-Float conversion
CVE-2022-28753,improper access control,,join meeting without appearing|admit self from waiting room|become host|cause meeting disruptions,,malicious actor,Zoom On-Premise Meeting Connector MMR,before version 4.8.129.20220714,
CVE-2022-28754,improper access control,,join meeting without appearing|admit self from waiting room|become host|cause meeting disruptions,,malicious actor,Zoom On-Premise Meeting Connector MMR,before version 4.8.129.20220714,
CVE-2022-28775,improper access control,,write file without Samsung Flow permission,,,Samsung Flow,prior to version 4.8.06.5,
CVE-2022-28776,improper access control,,install applications without user interactions,,,Galaxy Store,prior to version 4.5.36.4,
CVE-2022-28777,improper access control,,execute call function without CALL_PHONE permission,,local attacker,Samsung Members,prior to version 13.6.08.5,
CVE-2022-28778,improper access control,,set arbitrary folder as Secret Folder without permission,,,Samsung Security Supporter,prior to version 1.2.40.0,
CVE-2022-28782,improper access control,,install package before completion of Setup wizard,,physical attacker,Contents To Window,prior to SMR May-2022 Release 1,
CVE-2022-28805,,heap-based buffer over-read,,,,Lua,5.4.0 to 5.4.3,singlevar in lparser.c
CVE-2022-28811,improper input validation,,execute arbitrary OS commands,API-submitted parameter,remote unauthenticated attacker,Carlo Gavazzi UWP3.0|CPY Car Park Server,,
CVE-2022-28866,improper access control,,view sensitive data|modify system configurations,,,Nokia AirFrame BMC Web GUI,< R18 Firmware v4.13.00,
CVE-2022-29082,improper validation of certificate with host mismatch,,spoof certificates,,remote attackers,Dell EMC NetWorker,19.1.x to 19.6.0.2,Rabbitmq port 5671
CVE-2022-29490,improper authorization,,execute any MicroSCADA internal scripts,,authenticated user,Hitachi Energy MicroSCADA X SYS600,version 10 to version 10.3.1,Workplace X WebUI
CVE-2022-29493,uncaught exception,,denial of service,network access,privileged user,Integrated BMC in some Intel(R) platforms,before versions 2.86|2.09|2.78,webserver
CVE-2022-29494,improper input validation,,denial of service,network access,authenticated user,OpenBMC in some Intel(R) platforms,before versions egs-0.91-179|bhs-04-45,firmware
CVE-2022-29512,exposure of sensitive information,,obtain data without viewing privilege,,remote authenticated attacker,Cybozu Garoon,4.0.0 to 5.9.1,multiple applications
CVE-2022-29526,incorrect privilege assignment,,incorrectly report file accessibility,,,Go,before 1.17.10|1.18.x before 1.18.2,Faccessat function
CVE-2022-29537,,heap-based buffer over-read,,,,GPAC,2.0.0,gp_rtp_builder_do_hevc in ietf/rtp_pck_mpeg4.c
CVE-2022-29538,improper access control,,access critical resources,,unauthenticated user,RESI Gemini-Net Web,4.2,authorization logic
CVE-2022-29581,improper update of reference count,,privilege escalation to root,,local attacker,Linux Kernel,versions prior to 5.18|version 4.14 and later versions,net/sched
CVE-2022-29832,cleartext storage of sensitive information in memory,,disclose sensitive information,,remote unauthenticated attacker,Mitsubishi Electric Corporation GX Works3|GX Works2|GX Developer,1.015R and later|all versions|8.40S and later,
CVE-2022-29892,improper input validation,,denial of service,repeatedly display errors,remote authenticated attacker,Cybozu Garoon,4.0.0 to 5.5.1,Space
CVE-2022-30018,insufficiently protected credentials|storing passwords in recoverable format,,gain admin access to software|gain access to recordings,,,Mobotix Control Center,through 2.5.4.5,MxCC.ini config file
CVE-2022-30315,insufficient verification of data authenticity,,remote code execution|denial of service,,,Honeywell Experion PKS Safety Manager,through 2022-05-06,
CVE-2022-30530,protection mechanism failure,,escalation of privilege,local access,authenticated user,Intel(R) DSA software,before version 22.4.26,
CVE-2022-30584,improper access control,,compromise affected system,,malicious users,Archer Platform,6.3 before 6.11,SSO ADFS functionality
CVE-2022-30707,violation of secure design principles,,disable CAMS for HIS software functions|information disclosure|information alteration,,,CENTUM series|Exaopc|B/M9000 CS|B/M9000 VP,,CAMS for HIS communication
CVE-2022-30715,improper access control,,control floating system alert window,,,DofViewer,prior to SMR Jun-2022 Release 1,
CVE-2022-30730,improper authorization,,access account list without authentication,,physical attackers,Samsung Pass,prior to 1.0.00.33,
CVE-2022-30731,improper access control,,access arbitrary private files,,,My Files,prior to version 13.1.00.193,
CVE-2022-30745,improper access control,,access internal files,,,Quick Share,prior to version 13.1.2.4,
CVE-2022-31222,missing release of resource after effective lifetime,,cause application crash,consuming excess memory,local authenticated administrator user,Dell BIOS,,
CVE-2022-31250,UNIX symbolic link following,,escalate from keylime user to root,,local attackers,keylime,prior to 6.4.2-1.1,openSUSE Tumbleweed
CVE-2022-31589,improper authorization check,,access restricted data,,,SAP,,Israeli File from SHAAM program
CVE-2022-3174,sensitive cookie in HTTPS session without 'Secure' attribute,,,,,ikus060/rdiffweb,prior to 2.4.2,
CVE-2022-3175,missing custom error page,,,,,ikus060/rdiffweb,prior to 2.4.2,
CVE-2022-31798,cross-site scripting|session fixation,,,/card_scan.php?CardFormatNo=,attacker,Nortek Linear eMerge E3-Series,0.32-07p,
CVE-2022-31884,improper access control,,delete other users API Keys,,,Marval MSM,v14.19.0.12476,
CVE-2022-3250,sensitive cookie in HTTPS session without 'Secure' attribute,,,,,ikus060/rdiffweb,prior to 2.4.6,
CVE-2022-3251,sensitive cookie in HTTPS session without 'Secure' attribute,,,,,ikus060/minarca,prior to 4.2.2,
CVE-2022-32664,improper input validation,command injection,remote escalation of privilege,,,Config Manager,,
CVE-2022-32665,improper input validation,command injection,remote escalation of privilege,,,Boa,,
CVE-2022-3272,improper handling of length parameter inconsistency,,,,,ikus060/rdiffweb,prior to 2.4.8,
CVE-2022-3273,allocation of resources without limits or throttling,,,,,ikus060/rdiffweb,prior to 2.5.0a4,
CVE-2022-3290,improper handling of length parameter inconsistency,,,,,ikus060/rdiffweb,prior to 2.4.8,
CVE-2022-33216,improper input validation,,denial of service,parsing ELF file,,Automotive,,
CVE-2022-33219,,integer overflow | buffer overflow,memory corruption,registering new listener with shared buffer,,Automotive,,
CVE-2022-33221,,buffer over-read,information disclosure,processing metadata verification requests,,Trusted Execution Environment,,
CVE-2022-33229,,buffer over-read,information disclosure,processing IPv4 packets,,Modem,,static array
CVE-2022-33232,,buffer copy without checking size,memory corruption,running memory sharing tests with large scattered memory,,,,
CVE-2022-33235,,buffer over-read,information disclosure,parsing security context info attributes,,Snapdragon Auto|Snapdragon Compute|Snapdragon Connectivity|Snapdragon Consumer Electronics Connectivity|Snapdragon Consumer IOT|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Voice & Music|Snapdragon Wearables|Snapdragon Wired Infrastructure and Networking,,WLAN firmware
CVE-2022-33237,,buffer over-read,denial of service,processing PPE threshold,,Snapdragon Auto|Snapdragon Compute|Snapdragon Connectivity|Snapdragon Consumer Electronics Connectivity|Snapdragon Consumer IOT|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Voice & Music|Snapdragon Wearables|Snapdragon Wired Infrastructure and Networking,,WLAN firmware
CVE-2022-33246,use of out-of-range pointer offset,,memory corruption,initiating voice call session with invalid session id,,Audio,,
CVE-2022-33248,,integer overflow | buffer overflow,memory corruption,receiving segment via qmi http,,User Identity Module,,
CVE-2022-3325,improper access control,,edit approval rules,,,GitLab CE/EE,12.8 to 15.2.5|15.3 to 15.3.4|15.4 to 15.4.1,API
CVE-2022-33252,,buffer over-read,information disclosure,handling IBSS beacons frame,,WLAN,,
CVE-2022-33253,,buffer over-read,denial of service,parsing corrupted NAN frames,,WLAN,,
CVE-2022-33255,,buffer over-read,information disclosure,processing GetFolderItems and GetItemAttribute commands,,Bluetooth HOST,,
CVE-2022-33268,,buffer over-read,information disclosure,pairing and connecting A2DP,,Snapdragon Auto|Snapdragon Compute|Snapdragon Consumer IOT|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Voice & Music|Snapdragon Wearables,,Bluetooth HOST
CVE-2022-33271,,buffer over-read,information disclosure,parsing NMF frame,,WLAN,,
CVE-2022-33276,,buffer copy without checking size,memory corruption,receiving WMI_REQUEST_STATS_CMDID command,,modem,,
CVE-2022-33277,,buffer copy without checking size,memory corruption,receiving WMI command,,modem,,
CVE-2022-33283,,buffer over-read,information disclosure,WLAN frame parsing,,WLAN,,
CVE-2022-33284,,buffer over-read,information disclosure,parsing BTM action frame,,WLAN,,
CVE-2022-33285,,buffer over-read,denial of service,parsing WLAN CSA action frames,,WLAN,,
CVE-2022-33286,,buffer over-read,denial of service,processing 802.11 management frames,,WLAN,,
CVE-2022-33306,,buffer over-read,denial of service,processing incoming management frame with incorrect IEs,,WLAN,,
CVE-2022-33309,,buffer over-read,denial of service,parsing secure FTMR frame,,WLAN Firmware,,
CVE-2022-33689,improper access control,,change preferred network type,unprotected binder call,attackers,TelephonyUI,prior to SMR Jul-2022 Release 1,
CVE-2022-33690,improper input validation,,access arbitrary file,,attacker,Contacts Storage,prior to SMR Jul-2022 Release 1,
CVE-2022-33702,improper authorization,,disable keyguard|bypass Knoxguard lock,factory reset,local attacker,Knoxguard,prior to SMR Jul-2022 Release 1,
CVE-2022-33708,improper input validation,,launch activities as Galaxy Store privilege,,local attackers,Galaxy Store,prior to version 4.5.41.8,AppsPackageInstaller
CVE-2022-33709,improper input validation,,launch activities as Galaxy Store privilege,,local attackers,Galaxy Store,prior to version 4.5.41.8,ApexPackageInstaller
