CVE,Description,Chains,Weakness_Description,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT,missing,extra
CVE-2021-35937,"A race condition vulnerability was found in rpm. A local unprivileged user could use this flaw to bypass the checks that were introduced in response to CVE-2017-7500 and CVE-2017-7501, potentially gaining root privileges. The highest threat from this vulnerability is to data confidentiality and integrity as well as system availability.",CWE-367->CWE-61,TOCTOU race in check for unsafe symlinks,race condition,,bypass checks|gain root privileges,,local unprivileged user,rpm,,,"check, for, in, symlinks, toctou, unsafe","condition, bypass, checks, privileges, nan, root, gain"
CVE-2021-43395,"An issue was discovered in illumos before f859e7171bb5db34321e45585839c6c3200ebb90, OmniOS Community Edition r151038, OpenIndiana Hipster 2021.04, and SmartOS 20210923. A local unprivileged user can cause a deadlock and kernel panic via crafted rename and rmdir calls on tmpfs filesystems. Oracle Solaris 10 and 11 is also affected.",,cause a deadlock,race condition,,deadlock|kernel panic,crafted rename and rmdir calls,local unprivileged user,illumos,,tmpfs filesystems,,"condition, panic, kernel, nan, race"
CVE-2021-46362,A Server-Side Template Injection (SSTI) vulnerability in the Registration and Forgotten Password forms of Magnolia v6.2.3 and below allows attackers to execute arbitrary code via a crafted payload entered into the fullname parameter.,,Server-Side Template Injection (SSTI) vulnerability,,server-side template injection,execute arbitrary code,crafted payload in fullname parameter,attackers,Magnolia,v6.2.3 and below,Registration and Forgotten Password forms,,"nan, execute, code, arbitrary"
CVE-2022-0207,A race condition was found in vdsm. Functionality to obfuscate sensitive values in log files that may lead to values being stored in clear text.,,race condition,race condition,,store sensitive values in clear text,,,vdsm,,log files,,"clear, sensitive, store, values, in, nan, text"
CVE-2022-0280,A race condition vulnerability exists in the QuickClean feature of McAfee Total Protection for Windows prior to 16.0.43 that allows a local user to gain privilege elevation and perform an arbitrary file delete. This could lead to sensitive files being deleted and potentially cause denial of service. This attack exploits the way symlinks are created and how the product works with them.,,Time-of-check Time-of-use (TOCTOU) Race Condition,race condition,,privilege elevation|arbitrary file delete,symlink manipulation,local user,McAfee Total Protection for Windows,prior to 16.0.43,QuickClean feature,,"nan, elevation, privilege, delete, file, arbitrary"
CVE-2022-0414,Improper Validation of Specified Quantity in Input in Packagist dolibarr/dolibarr prior to 16.0.,,vulnerable to Business Logic Errors...since these values can be negative numbers.,improper input validation,,,,,,Packagist dolibarr/dolibarr,prior to 16.0,"can, errors, since, numbers, values, , to, business, logic, negative, be, these","input, validation, nan, improper"
CVE-2022-0596,Improper Validation of Specified Quantity in Input in Packagist microweber/microweber prior to 1.2.11.,,The product is vulnerable to Business Logic error through negative product amount.,improper input validation,,,,,,Packagist microweber/microweber,prior to 1.2.11,"error, , through, to, business, logic, the, is, product, negative, amount","input, validation, nan, improper"
CVE-2022-0915,There is a Time-of-check Time-of-use (TOCTOU) Race Condition Vulnerability in Logitech Sync for Windows prior to 2.4.574. Successful exploitation of these vulnerabilities may escalate the permission to the system user.,,Time-of-check Time-of-use (TOCTOU) Race Condition,TOCTOU race condition,,escalate permission to system user,,,Logitech Sync for Windows,prior to 2.4.574,,,"escalate, permission, nan, to, user, system"
CVE-2022-1794,The CODESYS OPC DA Server prior V3.5.18.20 stores PLC passwords as plain text in its configuration file so that it is visible to all authorized Microsoft Windows users of the system.,,stores PLC passwords as plain text,plaintext storage of passwords,,,,,CODESYS OPC DA Server,prior to V3.5.18.20,configuration file,"stores, text, plain, plc, as","nan, plaintext, storage, of"
CVE-2022-20458,"The logs of sensitive information (PII) or hardware identifier should only be printed in Android ""userdebug"" or ""eng"" build. StatusBarNotification.getKey() could contain sensitive information. However, CarNotificationListener.java, it prints out the StatusBarNotification.getKey() directly in logs, which could contain user's account name (i.e. PII), in Android ""user"" build.Product: AndroidVersions: Android-12LAndroid ID: A-205567776",,could contain sensitive information,improper logging of sensitive information,,obtain sensitive information,,,Android,12L,CarNotificationListener.java,,"logging, of, improper, nan, obtain"
CVE-2022-20651,"A vulnerability in the logging component of Cisco Adaptive Security Device Manager (ASDM) could allow an authenticated, local attacker to view sensitive information in clear text on an affected system. Cisco ADSM must be deployed in a shared workstation environment for this issue to be exploited. This vulnerability is due to the storage of unencrypted credentials in certain logs. An attacker could exploit this vulnerability by accessing the logs on an affected system. A successful exploit could allow the attacker to view the credentials of other users of the shared device.",,storage of unencrypted credentials in certain logs,cleartext storage of sensitive information,,view credentials of other users,,authenticated local attacker,Cisco Adaptive Security Device Manager,,logging component,,"sensitive, other, information, cleartext, view, nan, users"
CVE-2022-20958,"A vulnerability in the web-based management interface of Cisco BroadWorks CommPilot application could allow an unauthenticated, remote attacker to perform a server-side request forgery (SSRF) attack on an affected device. This vulnerability is due to insufficient validation of user-supplied input. An attacker could exploit this vulnerability by sending a crafted HTTP request to the web interface. A successful exploit could allow the attacker to obtain confidential information from the BroadWorks server and other device on the network. {{value}} [""%7b%7bvalue%7d%7d""])}]] ",CWE-20->CWE-918,server-side request forgery (SSRF)...due to insufficient validation of user-supplied input,insufficient input validation,,SSRF attack|obtain confidential information,crafted HTTP request,unauthenticated remote attacker,Cisco BroadWorks CommPilot,,web-based management interface,,"confidential, information, nan, attack, obtain"
CVE-2022-21198,Time-of-check time-of-use race condition in the BIOS firmware for some Intel(R) Processors may allow a privileged user to potentially enable escalation of privilege via local access.,,Time-of-check time-of-use race condition,TOCTOU race condition,,escalation of privilege,local access,privileged user,Intel(R) Processors,,BIOS firmware,,"nan, escalation, toctou, privilege"
CVE-2022-2165,Insufficient data validation in URL formatting in Google Chrome prior to 103.0.5060.53 allowed a remote attacker to perform domain spoofing via IDN homographs via a crafted domain name.,CWE-20->CWE-1007,Insufficient data validation,insufficient data validation,,domain spoofing,IDN homographs via crafted domain name,remote attacker,Google Chrome,prior to 103.0.5060.53,URL formatting,,"nan, spoofing, domain"
CVE-2022-21772,"In TEEI driver, there is a possible type confusion due to a race condition. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06493842; Issue ID: ALPS06493842.",CWE-362->CWE-843,type confusion due to a race condition,race condition,type confusion,local escalation of privilege,,,TEEI driver,,,,"of, escalation, local, privilege"
CVE-2022-22069,"Devices with keyprotect off may store unencrypted keybox in RPMB and cause cryptographic issue in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,may store unencrypted [information],improper encryption,unencrypted keybox storage,cryptographic issue,,,Snapdragon Auto|Snapdragon Compute|Snapdragon Connectivity|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Wearables,,RPMB,,"cryptographic, storage, keybox, improper, encryption, issue"
CVE-2022-22183,"An Improper Access Control vulnerability in Juniper Networks Junos OS Evolved allows a network-based unauthenticated attacker who is able to connect to a specific open IPv4 port, which in affected releases should otherwise be unreachable, to cause the CPU to consume all resources as more traffic is sent to the port to create a Denial of Service (DoS) condition. Continued receipt and processing of these packets will create a sustained Denial of Service (DoS) condition. This issue affects: Juniper Networks Junos OS Evolved 20.4 versions prior to 20.4R3-S2-EVO; 21.1 versions prior to 21.1R3-S1-EVO; 21.2 versions prior to 21.2R3-EVO; 21.3 versions prior to 21.3R2-EVO; 21.4 versions prior to 21.4R2-EVO. This issue does not affect Junos OS.",,Improper Access Control vulnerability,improper access control,,denial of service,connect to specific open IPv4 port,network-based unauthenticated attacker,Juniper Networks Junos OS Evolved,20.4 versions prior to 20.4R3-S2-EVO|21.1 versions prior to 21.1R3-S1-EVO|21.2 versions prior to 21.2R3-EVO|21.3 versions prior to 21.3R2-EVO|21.4 versions prior to 21.4R2-EVO,,,"nan, of, service, denial"
CVE-2022-22220,"A Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability in Routing Protocol Daemon (rpd) of Juniper Networks Junos OS, Junos OS Evolved allows a network-based unauthenticated attacker to cause a Denial of Service (DoS). When a BGP flow route with redirect IP extended community is received, and the reachability to the next-hop of the corresponding redirect IP is flapping, the rpd process might crash. Whether the crash occurs depends on the timing of the internally processing of these two events and is outside the attackers control. Please note that this issue also affects Route-Reflectors unless 'routing-options flow firewall-install-disable' is configured. This issue affects: Juniper Networks Junos OS: 18.4 versions prior to 18.4R2-S10, 18.4R3-S10; 19.1 versions prior to 19.1R3-S7; 19.2 versions prior to 19.2R1-S8, 19.2R3-S4; 19.4 versions prior to 19.4R3-S8; 20.2 versions prior to 20.2R3-S3; 20.3 versions prior to 20.3R3-S2; 20.4 versions prior to 20.4R3; 21.1 versions prior to 21.1R2. Juniper Networks Junos OS Evolved: All versions prior to 20.4R2-EVO; 21.1-EVO versions prior to 21.1R2-EVO. This issue does not affect Juniper Networks Junos OS versions prior to 18.4R1.",,Time-of-check Time-of-use (TOCTOU) Race Condition,TOCTOU race condition,,denial of service,BGP flow route with redirect IP extended community,network-based unauthenticated attacker,Juniper Networks Junos OS|Junos OS Evolved,,Routing Protocol Daemon (rpd),,"nan, service, denial"
CVE-2022-22225,"A Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability in the Routing Protocol Daemon (rpd) of Juniper Networks Junos OS and Junos OS Evolved allows an unauthenticated attacker with an established BGP session to cause a Denial of Service (DoS). In a BGP multipath scenario, when one of the contributing routes is flapping often and rapidly, rpd may crash. As this crash depends on whether a route is a contributing route, and on the internal timing of the events triggered by the flap this vulnerability is outside the direct control of a potential attacker. This issue affects: Juniper Networks Junos OS 19.2 versions prior to 19.2R3-S6; 20.2 versions prior to 20.2R3-S4; 20.3 versions prior to 20.3R3-S3; 20.4 versions prior to 20.4R3-S4; 21.1 versions prior to 21.1R3; 21.2 versions prior to 21.2R2; 21.3 versions prior to 21.3R2. Juniper Networks Junos OS Evolved All versions prior to 20.4R3-S4-EVO; 21.1-EVO version 21.1R1-EVO and later versions; 21.2-EVO versions prior to 21.2R2-EVO; 21.3-EVO versions prior to 21.3R2-EVO. This issue does not affect: Juniper Networks Junos OS versions 19.2 versions prior to 19.2R2, 19.3R1 and above prior to 20.2R1. Juniper Networks Junos OS Evolved versions prior to 20.2R1-EVO.",,Time-of-check Time-of-use (TOCTOU) Race Condition,TOCTOU race condition,,denial of service,BGP multipath scenario with flapping route,unauthenticated attacker with established BGP session,Juniper Networks Junos OS|Junos OS Evolved,,Routing Protocol Daemon (rpd),,"nan, service, denial"
CVE-2022-22297,"An incomplete filtering of one or more instances of special elements vulnerability [CWE-792] in the command line interpreter of FortiWeb version 6.4.0 through 6.4.1, FortiWeb version 6.3.0 through 6.3.17, FortiWeb all versions 6.2, FortiWeb all versions 6.1, FortiWeb all versions 6.0, FortiRecorder version 6.4.0 through 6.4.3, FortiRecorder all versions 6.0, FortiRecorder all versions 2.7 may allow an authenticated user to read arbitrary files via specially crafted command arguments.",,incomplete filtering of one or more instances of special elements,incomplete filtering of special elements,,read arbitrary files,specially crafted command arguments,authenticated user,FortiWeb|FortiRecorder,,command line interpreter,,"read, files, nan, arbitrary"
CVE-2022-22303,"An exposure of sensitive system information to an unauthorized control sphere vulnerability [CWE-497] in FortiManager versions prior to 7.0.2, 6.4.7 and 6.2.9 may allow a low privileged authenticated user to gain access to the FortiGate users credentials via the config conflict file.",,,exposure of sensitive information,,access FortiGate users credentials,,low privileged authenticated user,FortiManager,versions prior to 7.0.2|6.4.7 and 6.2.9,config conflict file,,"sensitive, of, information, credentials, exposure, access, users, fortigate"
CVE-2022-22458," IBM Security Verify Governance, Identity Manager 10.0.1 stores user credentials in plain clear text which can be read by a remote authenticated user. IBM X-Force ID: 225009. ",,stores user credentials in plain clear text,cleartext storage of sensitive information,,read user credentials,,remote authenticated user,IBM Security Verify Governance|Identity Manager,10.0.1,,,"read, sensitive, storage, of, cleartext, information, nan"
CVE-2022-23114,Jenkins Publish Over SSH Plugin 1.22 and earlier stores password unencrypted in its global configuration file on the Jenkins controller where it can be viewed by users with access to the Jenkins controller file system.,,stores password unencrypted,unencrypted storage of sensitive information,,view password,,users with access to Jenkins controller file system,Jenkins Publish Over SSH Plugin,1.22 and earlier,global configuration file,,"sensitive, storage, of, information, view, nan"
CVE-2022-23651,"b2-sdk-python is a python library to access cloud storage provided by backblaze. Linux and Mac releases of the SDK version 1.14.0 and below contain a key disclosure vulnerability that, in certain conditions, can be exploited by local attackers through a time-of-check-time-of-use (TOCTOU) race condition. SDK users of the SqliteAccountInfo format are vulnerable while users of the InMemoryAccountInfo format are safe. The SqliteAccountInfo saves API keys (and bucket name-to-id mapping) in a local database file ($XDG_CONFIG_HOME/b2/account_info, ~/.b2_account_info or a user-defined path). When first created, the file is world readable and is (typically a few milliseconds) later altered to be private to the user. If the directory containing the file is readable by a local attacker then during the brief period between file creation and permission modification, a local attacker can race to open the file and maintain a handle to it. This allows the local attacker to read the contents after the file after the sensitive information has been saved to it. Consumers of this SDK who rely on it to save data using SqliteAccountInfo class should upgrade to the latest version of the SDK. Those who believe a local user might have opened a handle using this race condition, should remove the affected database files and regenerate all application keys. Users should upgrade to b2-sdk-python 1.14.1 or later.",,time-of-check-time-of-use (TOCTOU) race condition,TOCTOU race condition,key disclosure,read API keys,,local attackers,b2-sdk-python,1.14.0 and below,SqliteAccountInfo,,"read, disclosure, key, keys, api"
CVE-2022-23653,"B2 Command Line Tool is the official command line tool for the backblaze cloud storage service. Linux and Mac releases of the B2 command-line tool version 3.2.0 and below contain a key disclosure vulnerability that, in certain conditions, can be exploited by local attackers through a time-of-check-time-of-use (TOCTOU) race condition. The command line tool saves API keys (and bucket name-to-id mapping) in a local database file (`$XDG_CONFIG_HOME/b2/account_info`, `~/.b2_account_info` or a user-defined path) when `b2 authorize-account` is first run. This happens regardless of whether a valid key is provided or not. When first created, the file is world readable and is (typically a few milliseconds) later altered to be private to the user. If the directory is readable by a local attacker and the user did not yet run `b2 authorize-account` then during the brief period between file creation and permission modification, a local attacker can race to open the file and maintain a handle to it. This allows the local attacker to read the contents after the file after the sensitive information has been saved to it. Users that have not yet run `b2 authorize-account` should upgrade to B2 Command-Line Tool v3.2.1 before running it. Users that have run `b2 authorize-account` are safe if at the time of the file creation no other local users had read access to the local configuration file. Users that have run `b2 authorize-account` where the designated path could be opened by another local user should upgrade to B2 Command-Line Tool v3.2.1 and remove the database and regenerate all application keys. Note that `b2 clear-account` does not remove the database file and it should not be used to ensure that all open handles to the file are invalidated. If B2 Command-Line Tool cannot be upgraded to v3.2.1 due to a dependency conflict, a binary release can be used instead. Alternatively a new version could be installed within a virtualenv, or the permissions can be changed to prevent local users from opening the database file.",,time-of-check-time-of-use (TOCTOU) race condition,TOCTOU race condition,key disclosure,read API keys,,local attackers,B2 Command Line Tool,3.2.0 and below,,,"read, disclosure, key, keys, api"
CVE-2022-24041,"A vulnerability has been identified in Desigo DXR2 (All versions < V01.21.142.5-22), Desigo PXC3 (All versions < V01.21.142.4-18), Desigo PXC4 (All versions < V02.20.142.10-10884), Desigo PXC5 (All versions < V02.20.142.10-10884). The web application stores the PBKDF2 derived key of users passwords with a low iteration count. An attacker with user profile access privilege can retrieve the stored password hashes of other accounts and then successfully perform an offline cracking attack and recover the plaintext passwords of other users.",,stores the PBKDF2 derived key of users passwords with a low iteration count.,weak password hashing,,offline cracking attack|recover plaintext passwords,retrieve stored password hashes,attacker with user profile access privilege,Desigo DXR2|Desigo PXC3|Desigo PXC4|Desigo PXC5,,web application,"iteration, key, of, stores, with, pbkdf2, users, low, a, derived, count, the","plaintext, recover, nan, hashing, cracking, attack, weak, password, offline"
CVE-2022-24442,JetBrains YouTrack before 2021.4.40426 was vulnerable to SSTI (Server-Side Template Injection) via FreeMarker templates.,,vulnerable to SSTI (Server-Side Template Injection),,server-side template injection,,,,JetBrains YouTrack,before 2021.4.40426,FreeMarker templates,,nan
CVE-2022-25165,"An issue was discovered in Amazon AWS VPN Client 2.0.0. A TOCTOU race condition exists during the validation of VPN configuration files. This allows parameters outside of the AWS VPN Client allow list to be injected into the configuration file prior to the AWS VPN Client service (running as SYSTEM) processing the file. Dangerous arguments can be injected by a low-level user such as log, which allows an arbitrary destination to be specified for writing log files. This leads to an arbitrary file write as SYSTEM with partial control over the files content. This can be abused to cause an elevation of privilege or denial of service.",,A TOCTOU race condition exists ... This leads to an arbitrary file write as SYSTEM,TOCTOU race condition,,arbitrary file write as SYSTEM|elevation of privilege|denial of service,inject dangerous arguments,low-level user,Amazon AWS VPN Client,2.0.0,VPN configuration files,,"service, of, nan, elevation, denial, privilege"
CVE-2022-25662,"Information disclosure due to untrusted pointer dereference in kernel in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,due to untrusted pointer dereference,untrusted pointer dereference,,information disclosure,,,Snapdragon Auto|Snapdragon Compute|Snapdragon Connectivity|Snapdragon Consumer IOT|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Wearables,,kernel,,"nan, information, disclosure"
CVE-2022-26117,"An empty password in configuration file vulnerability [CWE-258] in FortiNAC version 8.3.7 and below, 8.5.2 and below, 8.5.4, 8.6.0, 8.6.5 and below, 8.7.6 and below, 8.8.11 and below, 9.1.5 and below, 9.2.3 and below may allow an authenticated attacker to access the MySQL databases via the CLI.",,empty password in configuration file vulnerability [CWE-258],empty password in configuration file,,access MySQL databases,,,FortiNAC,8.3.7 and below|8.5.2 and below|8.5.4|8.6.0|8.6.5 and below|8.7.6 and below|8.8.11 and below|9.1.5 and below|9.2.3 and below,CLI,,"nan, databases, access, mysql"
CVE-2022-26843,Insufficient visual distinction of homoglyphs presented to user in the Intel(R) oneAPI DPC++/C++ Compiler before version 2022.1 for Intel(R) oneAPI Toolkits before version 2022.2 may allow an unauthenticated user to potentially enable escalation of privilege via network access.,,Insufficient visual distinction of homoglyphs presented to user,insufficient visual distinction of homoglyphs,,escalation of privilege,network access,unauthenticated user,Intel(R) oneAPI DPC++/C++ Compiler,before version 2022.1,,,"nan, escalation, privilege"
CVE-2022-26859,Dell BIOS contains a race condition vulnerability. A local attacker could exploit this vulnerability by sending malicious input via SMI in order to bypass security checks during SMM.,,contains a race condition vulnerability,race condition,,bypass security checks,sending malicious input via SMI,local attacker,Dell BIOS,,SMM,,"nan, bypass, security, checks"
CVE-2022-27195,"Jenkins Parameterized Trigger Plugin 2.43 and earlier captures environment variables passed to builds triggered using Jenkins Parameterized Trigger Plugin, including password parameter values, in their `build.xml` files. These values are stored unencrypted and can be viewed by users with access to the Jenkins controller file system.",,captures environment variables ... including password parameter values ... These values are stored unencrypted and can be viewed by users with access,unencrypted storage of sensitive information,,view password parameter values,,users with access to Jenkins controller file system,Jenkins Parameterized Trigger Plugin,2.43 and earlier,build.xml files,"can, these, by, are, stored, environment, access, with, viewed, including, users, be, and, variables, captures","sensitive, storage, of, information, view, nan"
CVE-2022-27206,Jenkins GitLab Authentication Plugin 1.13 and earlier stores the GitLab client secret unencrypted in the global config.xml file on the Jenkins controller where it can be viewed by users with access to the Jenkins controller file system.,,stores the GitLab client secret unencrypted ... where it can be viewed by users with access,unencrypted storage of sensitive information,,view GitLab client secret,,users with access to Jenkins controller file system,Jenkins GitLab Authentication Plugin,1.13 and earlier,global config.xml file,"can, it, by, where, stores, with, access, viewed, users, be, the","sensitive, storage, of, information, view, nan"
CVE-2022-27216,Jenkins dbCharts Plugin 0.5.2 and earlier stores JDBC connection passwords unencrypted in its global configuration file on the Jenkins controller where they can be viewed by users with access to the Jenkins controller file system.,,stores JDBC connection passwords unencrypted ... where they can be viewed by users with access,unencrypted storage of sensitive information,,view JDBC connection passwords,,users with access to Jenkins controller file system,Jenkins dbCharts Plugin,0.5.2 and earlier,global configuration file,"can, by, where, stores, they, with, access, viewed, users, be","sensitive, storage, of, information, view, nan"
CVE-2022-27217,"Jenkins Vmware vRealize CodeStream Plugin 1.2 and earlier stores passwords unencrypted in job config.xml files on the Jenkins controller where they can be viewed by users with Extended Read permission, or access to the Jenkins controller file system.",,stores passwords unencrypted ... where they can be viewed by users with Extended Read permission,unencrypted storage of sensitive information,,view passwords,,users with Extended Read permission|users with access to Jenkins controller file system,Jenkins Vmware vRealize CodeStream Plugin,1.2 and earlier,job config.xml files,"read, can, by, extended, permission, where, stores, they, with, viewed, users, be","sensitive, storage, of, information, view, nan"
CVE-2022-27218,"Jenkins incapptic connect uploader Plugin 1.15 and earlier stores tokens unencrypted in job config.xml files on the Jenkins controller where they can be viewed by users with Extended Read permission, or access to the Jenkins controller file system.",,stores tokens unencrypted ... where they can be viewed by users with Extended Read permission,unencrypted storage of sensitive information,,view tokens,,users with Extended Read permission|users with access to Jenkins controller file system,Jenkins incapptic connect uploader Plugin,1.15 and earlier,job config.xml files,"read, can, by, extended, permission, where, stores, they, with, viewed, users, be","sensitive, storage, of, information, view, nan"
CVE-2022-27548,HCL Launch stores user credentials in plain clear text which can be read by a local user.,,stores user credentials in plain clear text,cleartext storage of sensitive information,,read user credentials,,local user,HCL Launch,,,"clear, in, stores, plain, text","read, sensitive, storage, of, cleartext, information, nan"
CVE-2022-27549,HCL Launch may store certain data for recurring activities in a plain text format.,,could disclose sensitive database information to a local user in plain text,cleartext storage of sensitive information,,read certain data for recurring activities,,,HCL Launch,,,"disclose, in, database, to, plain, text, user, local, a, could","read, storage, activities, of, certain, cleartext, data, for, nan, recurring"
CVE-2022-2793,"Emerson Electric's Proficy Machine Edition Version 9.00 and prior is vulenrable to CWE-353 Missing Support for Integrity Check, and has no authentication or authorization of data packets after establishing a connection for the SRTP protocol.",,to CWE-353 Missing Support for Integrity Check,missing support for integrity check,,,,,Emerson Electric's Proficy Machine Edition,Version 9.00 and prior,SRTP protocol,"353, to, cwe",nan
CVE-2022-28135,Jenkins instant-messaging Plugin 1.41 and earlier stores passwords for group chats unencrypted in the global configuration file of plugins based on Jenkins instant-messaging Plugin on the Jenkins controller where they can be viewed by users with access to the Jenkins controller file system.,,stores passwords for group chats unencrypted in the global ... file,unencrypted storage of sensitive information,,view passwords for group chats,,users with access to Jenkins controller file system,Jenkins instant-messaging Plugin,1.41 and earlier,global configuration file,,"sensitive, storage, of, information, view, nan"
CVE-2022-28141,Jenkins Proxmox Plugin 0.5.0 and earlier stores the Proxmox Datacenter password unencrypted in the global config.xml file on the Jenkins controller where it can be viewed by users with access to the Jenkins controller file system.,,stores the ... password unencrypted in the global ... file,unencrypted storage of sensitive information,,view Proxmox Datacenter password,,users with access to Jenkins controller file system,Jenkins Proxmox Plugin,0.5.0 and earlier,global config.xml file,,"sensitive, storage, of, information, view, proxmox, nan, datacenter"
CVE-2022-28166,"In Brocade SANnav version before SANN2.2.0.2 and Brocade SANNav before 2.1.1.8, the implementation of TLS/SSL Server Supports the Use of Static Key Ciphers (ssl-static-key-ciphers) on ports 443 & 18082.",,Supports the Use of Static Key Ciphers,use of static key ciphers,,,,,Brocade SANnav,version before SANN2.2.0.2 and before 2.1.1.8,TLS/SSL Server,,nan
CVE-2022-28291,"Insufficiently Protected Credentials: An authenticated user with debug privileges can retrieve stored Nessus policy credentials from the “nessusd” process in cleartext via process dumping. The affected products are all versions of Nessus Essentials and Professional. The vulnerability allows an attacker to access credentials stored in Nessus scanners, potentially compromising its customers’ network of assets.",,Insufficiently Protected Credentials,insufficiently protected credentials,,retrieve stored Nessus policy credentials,process dumping,authenticated user with debug privileges,Nessus Essentials and Professional,all versions,nessusd process,,"policy, nessus, retrieve, nan, stored"
CVE-2022-28743,"Time-of-check Time-of-use (TOCTOU) Race Condition vulerability in Foscam R2C IP camera running System FW <= 1.13.1.6, and Application FW <= 2.91.2.66, allows an authenticated remote attacker with administrator permissions to execute arbitrary remote code via a malicious firmware patch. The impact of this vulnerability is that the remote attacker could gain full remote access to the IP camera and the underlying Linux system with root permissions. With root access to the camera's Linux OS, an attacker could effectively change the code that is running, add backdoor access, or invade the privacy of the user by accessing the live camera stream.",,Time-of-check Time-of-use (TOCTOU) Race Condition vulerability,TOCTOU race condition,,execute arbitrary remote code|gain full remote access,malicious firmware patch,authenticated remote attacker with administrator permissions,Foscam R2C IP camera,System FW <= 1.13.1.6 and Application FW <= 2.91.2.66,,,"execute, arbitrary, gain, nan, access, full, remote, code"
CVE-2022-29052,"Jenkins Google Compute Engine Plugin 4.3.8 and earlier stores private keys unencrypted in cloud agent config.xml files on the Jenkins controller where they can be viewed by users with Extended Read permission, or access to the Jenkins controller file system.",,stores private keys unencrypted in ... files,unencrypted storage of sensitive information,,view private keys,,users with Extended Read permission|users with access to Jenkins controller file system,Jenkins Google Compute Engine Plugin,4.3.8 and earlier,cloud agent config.xml files,,"sensitive, storage, of, information, view, nan"
CVE-2022-29078,"The ejs (aka Embedded JavaScript templates) package 3.1.6 for Node.js allows server-side template injection in settings[view options][outputFunctionName]. This is parsed as an internal option, and overwrites the outputFunctionName option with an arbitrary OS command (which is executed upon template compilation).",,allows server-side template injection,,server-side template injection,execute arbitrary OS command,,,ejs,3.1.6,settings[view options][outputFunctionName],,"execute, os, command, nan, arbitrary"
CVE-2022-29085,"Dell Unity, Dell UnityVSA, and Dell Unity XT versions prior to 5.2.0.0.5.173 contain a plain-text password storage vulnerability when certain off-array tools are run on the system. The credentials of a user with high privileges are stored in plain text. A local malicious user with high privileges may use the exposed password to gain access with the privileges of the compromised user.",,plain-text password storage vulnerability,plaintext storage of sensitive information,,gain access with high privileges,,local malicious user with high privileges,Dell Unity|Dell UnityVSA|Dell Unity XT,versions prior to 5.2.0.0.5.173,off-array tools,,"sensitive, plaintext, of, information, high, privileges, nan, with, access, gain"
CVE-2022-29444,Plugin Settings Change leading to Cross-Site Scripting (XSS) vulnerability in Cloudways Breeze plugin <= 2.0.2 on WordPress allows users with a subscriber or higher user role to execute any of the wp_ajax_* actions in the class Breeze_Configuration which includes the ability to change any of the plugin's settings including CDN setting which could be further used for XSS attack.,,Cross-Site Scripting (XSS) vulnerability,improper access control,Cross-Site Scripting (XSS) vulnerability,execute wp_ajax_* actions|change plugin settings|XSS attack,,users with subscriber or higher user role,Cloudways Breeze plugin,<= 2.0.2,WordPress,,"control, execute, wp_ajax_, settings, improper, actions, access, attack, change, plugin"
CVE-2022-29588,Konica Minolta bizhub MFP devices before 2022-04-14 use cleartext password storage for the /var/log/nginx/html/ADMINPASS and /etc/shadow files.,,use cleartext password storage,cleartext password storage,,,,,Konica Minolta bizhub MFP devices,before 2022-04-14,/var/log/nginx/html/ADMINPASS and /etc/shadow files,,nan
CVE-2022-29631,Jodd HTTP v6.0.9 was discovered to contain multiple CLRF injection vulnerabilities via the components jodd.http.HttpRequest#set and `jodd.http.HttpRequest#send. These vulnerabilities allow attackers to execute Server-Side Request Forgery (SSRF) via a crafted TCP payload.,CWE-93->CWE-918,,,CRLF injection,server-side request forgery,crafted TCP payload,attackers,Jodd HTTP,v6.0.9,jodd.http.HttpRequest#set and jodd.http.HttpRequest#send,,"server, request, crlf, side, forgery, injection"
CVE-2022-29800,A time-of-check-time-of-use (TOCTOU) race condition vulnerability was found in networkd-dispatcher. This flaw exists because there is a certain time between the scripts being discovered and them being run. An attacker can abuse this vulnerability to replace scripts that networkd-dispatcher believes to be owned by root with ones that are not.,,A time-of-check-time-of-use (TOCTOU) race condition vulnerability,TOCTOU race condition,,replace scripts owned by root,,,networkd-dispatcher,,,,"owned, by, replace, nan, scripts, root"
CVE-2022-30277,"BD Synapsys™, versions 4.20, 4.20 SR1, and 4.30, contain an insufficient session expiration vulnerability. If exploited, threat actors may be able to access, modify or delete sensitive information, including electronic protected health information (ePHI), protected health information (PHI) and personally identifiable information (PII).",,contain an insufficient session expiration vulnerability,insufficient session expiration,,access|modify|delete sensitive information,,,BD Synapsys™,versions 4.20|4.20 SR1|4.30,,,"sensitive, information, nan, access, modify, delete"
