"CVE","Description","Chains","Weakness_Description","ROOTCAUSE","WEAKNESS","IMPACT","VECTOR","ATTACKER","PRODUCT","VERSION","COMPONENT","missing","extra","JSON"
"CVE-2021-32040","It may be possible to have an extremely long aggregation pipeline in conjunction with a specific stage/operator and cause a stack overflow due to the size of the stack frames used by that stage. If an attacker could cause such an aggregation to occur, they could maliciously crash MongoDB in a DoS attack. This vulnerability affects MongoDB Server v4.4 versions prior to and including 4.4.28, MongoDB Server v5.0 versions prior to 5.0.4 and MongoDB Server v4.2 versions prior to 4.2.16. Workaround: >= v4.2.16 users and all v4.4 users can add the --setParameter internalPipelineLengthLimit=50 instead of the default 1000 to mongod at startup to prevent a crash. ","CWE-20->CWE-121","stack overflow due to the size of the stack frames","size of the stack frames","stack overflow","crash MongoDB","extremely long aggregation pipeline","","MongoDB Server","v4.4 prior to and including 4.4.28, v5.0 prior to 5.0.4, v4.2 prior to 4.2.16","aggregation pipeline","","mongodb, crash","{""ROOTCAUSE"": ""size of the stack frames"", ""WEAKNESS"": ""stack overflow"", ""IMPACT"": ""crash MongoDB"", ""VECTOR"": ""extremely long aggregation pipeline"", ""ATTACKER"": null, ""PRODUCT"": ""MongoDB Server"", ""VERSION"": ""v4.4 prior to and including 4.4.28, v5.0 prior to 5.0.4, v4.2 prior to 4.2.16"", ""COMPONENT"": ""aggregation pipeline""}"
"CVE-2021-32435","Stack-based buffer overflow in the function get_key in parse.c of abcm2ps v8.14.11 allows remote attackers to cause a Denial of Service (DoS) via unspecified vectors.","","Stack-based buffer overflow","","Stack-based buffer overflow","Denial of Service (DoS)","unspecified vectors","remote attackers","abcm2ps","v8.14.11","function get_key in parse.c","","service, dos, of, nan, denial","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": ""Denial of Service (DoS)"", ""VECTOR"": ""unspecified vectors"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""abcm2ps"", ""VERSION"": ""v8.14.11"", ""COMPONENT"": ""function get_key in parse.c""}"
"CVE-2021-32845","HyperKit is a toolkit for embedding hypervisor capabilities in an application. In versions 0.20210107 and prior of HyperKit, the implementation of `qnotify` at `pci_vtrnd_notify` fails to check the return value of `vq_getchain`. This leads to `struct iovec iov;` being uninitialized and used to read memory in `len = (int) read(sc->vrsc_fd, iov.iov_base, iov.iov_len);` when an attacker is able to make `vq_getchain` fail. This issue may lead to a guest crashing the host causing a denial of service and, under certain circumstance, memory corruption. This issue is fixed in commit 41272a980197917df8e58ff90642d14dec8fe948.","CWE-252->CWE-908->CWE-787","Fails to check the return value","Fails to check the return value","uninitialized memory use","guest crashing the host | denial of service | memory corruption","","","HyperKit","0.20210107 and prior","qnotify at pci_vtrnd_notify","","crashing, service, use, uninitialized, memory, of, host, corruption, guest, denial","{""ROOTCAUSE"": ""Fails to check the return value"", ""WEAKNESS"": ""uninitialized memory use"", ""IMPACT"": [""guest crashing the host "", "" denial of service "", "" memory corruption""], ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""HyperKit"", ""VERSION"": ""0.20210107 and prior"", ""COMPONENT"": ""qnotify at pci_vtrnd_notify""}"
"CVE-2021-32846","HyperKit is a toolkit for embedding hypervisor capabilities in an application. In versions 0.20210107, function `pci_vtsock_proc_tx` in `virtio-sock` can lead to to uninitialized memory use. In this situation, there is a check for the return value to be less or equal to `VTSOCK_MAXSEGS`, but that check is not sufficient because the function can return `-1` if it finds an error it cannot recover from. Moreover, the negative return value will be used by `iovec_pull` in a while condition that can further lead to more corruption because the function is not designed to handle a negative `iov_len`. This issue may lead to a guest crashing the host causing a denial of service and, under certain circumstance, memory corruption. This issue is fixed in commit af5eba2360a7351c08dfd9767d9be863a50ebaba.","","because the function can return -1 if it finds an error it cannot recover from","function can return -1 if it finds an error it cannot recover from","uninitialized memory use","potentially corrupt control data in memory | execute arbitrary code","","","HyperKit","0.20210107","function pci_vtsock_proc_tx in virtio-sock","","control, execute, potentially, use, corrupt, uninitialized, memory, arbitrary, data, in, code","{""ROOTCAUSE"": ""function can return -1 if it finds an error it cannot recover from"", ""WEAKNESS"": ""uninitialized memory use"", ""IMPACT"": [""potentially corrupt control data in memory "", "" execute arbitrary code""], ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""HyperKit"", ""VERSION"": 0.20210107, ""COMPONENT"": ""function pci_vtsock_proc_tx in virtio-sock""}"
"CVE-2021-32941","Annke N48PBB (Network Video Recorder) products of version 3.4.106 build 200422 and prior are vulnerable to a stack-based buffer overflow, which allows an unauthorized remote attacker to execute arbitrary code with the same privileges as the server user (root).","","stack-based buffer overflow","","stack-based buffer overflow","execute arbitrary code with the same privileges as the server user (root)","","unauthorized remote attacker","Annke N48PBB (Network Video Recorder)","3.4.106 build 200422 and prior","","","execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": null, ""ATTACKER"": ""unauthorized remote attacker"", ""PRODUCT"": ""Annke N48PBB (Network Video Recorder)"", ""VERSION"": ""3.4.106 build 200422 and prior"", ""COMPONENT"": null}"
"CVE-2021-33019","A stack-based buffer overflow vulnerability in Delta Electronics DOPSoft Version 4.00.11 and prior may be exploited by processing a specially crafted project file, which may allow an attacker to execute arbitrary code.","","stack-based buffer overflow","","stack-based buffer overflow","execute arbitrary code","processing a specially crafted project file","","Delta Electronics DOPSoft","4.00.11 and prior","","","nan, execute, arbitrary, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""processing a specially crafted project file"", ""ATTACKER"": null, ""PRODUCT"": ""Delta Electronics DOPSoft"", ""VERSION"": ""4.00.11 and prior"", ""COMPONENT"": null}"
"CVE-2021-33438","An issue was discovered in mjs (mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow in json_parse_array() in mjs.c.","","stack buffer overflow","","stack buffer overflow","","","","mjs (mJS: Restricted JavaScript engine)","","json_parse_array() in mjs.c","","","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""mjs (mJS: Restricted JavaScript engine)"", ""VERSION"": null, ""COMPONENT"": ""json_parse_array() in mjs.c""}"
"CVE-2021-33443","An issue was discovered in mjs (mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow in mjs_execute() in mjs.c.","","stack buffer overflow","","stack buffer overflow","","","","mjs (mJS: Restricted JavaScript engine)","","mjs_execute() in mjs.c","","","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""mjs (mJS: Restricted JavaScript engine)"", ""VERSION"": null, ""COMPONENT"": ""mjs_execute() in mjs.c""}"
"CVE-2021-33448","An issue was discovered in mjs(mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow at 0x7fffe9049390.","","stack buffer overflow","","stack buffer overflow","","","","mjs (mJS: Restricted JavaScript engine)","","","","","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""mjs (mJS: Restricted JavaScript engine)"", ""VERSION"": null, ""COMPONENT"": null}"
"CVE-2021-33545","Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter parameter which may allow an attacker to remotely execute arbitrary code.","","stack-based buffer overflow","","stack-based buffer overflow","remotely execute arbitrary code","","","Multiple camera devices by UDP Technology, Geutebrück and other vendors","","counter parameter","","execute, nan, code, remotely, arbitrary","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remotely execute arbitrary code"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Multiple camera devices by UDP Technology, Geutebr\\u00fcck and other vendors"", ""VERSION"": null, ""COMPONENT"": ""counter parameter""}"
"CVE-2021-33657","There is a heap overflow problem in video/SDL_pixels.c in SDL (Simple DirectMedia Layer) 2.x to 2.0.18 versions. By crafting a malicious .BMP file, an attacker can cause the application using this library to crash, denial of service or Code execution.","","heap overflow problem","","heap overflow","crash | denial of service | Code execution","crafting a malicious .BMP file","","SDL (Simple DirectMedia Layer)","2.x to 2.0.18","video/SDL_pixels.c","","service, of, execution, nan, denial, code, crash","{""ROOTCAUSE"": null, ""WEAKNESS"": ""heap overflow"", ""IMPACT"": [""crash "", "" denial of service "", "" Code execution""], ""VECTOR"": ""crafting a malicious .BMP file"", ""ATTACKER"": null, ""PRODUCT"": ""SDL (Simple DirectMedia Layer)"", ""VERSION"": ""2.x to 2.0.18"", ""COMPONENT"": ""video/SDL_pixels.c""}"
"CVE-2021-33912","libspf2 before 1.2.11 has a four-byte heap-based buffer overflow that might allow remote attackers to execute arbitrary code (via an unauthenticated e-mail message from anywhere on the Internet) with a crafted SPF DNS record, because of incorrect sprintf usage in SPF_record_expand_data in spf_expand.c. The vulnerable code may be part of the supply chain of a site's e-mail infrastructure (e.g., with additional configuration, Exim can use libspf2; the Postfix web site links to unofficial patches for use of libspf2 with Postfix; older versions of spfquery relied on libspf2) but most often is not.","","heap-based buffer overflow","incorrect sprintf usage","heap-based buffer overflow","execute arbitrary code","crafted SPF DNS record","remote attackers","libspf2","before 1.2.11","SPF_record_expand_data in spf_expand.c","","execute, arbitrary, sprintf, usage, incorrect, code","{""ROOTCAUSE"": ""incorrect sprintf usage"", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""crafted SPF DNS record"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""libspf2"", ""VERSION"": ""before 1.2.11"", ""COMPONENT"": ""SPF_record_expand_data in spf_expand.c""}"
"CVE-2021-33913","libspf2 before 1.2.11 has a heap-based buffer overflow that might allow remote attackers to execute arbitrary code (via an unauthenticated e-mail message from anywhere on the Internet) with a crafted SPF DNS record, because of SPF_record_expand_data in spf_expand.c. The amount of overflowed data depends on the relationship between the length of an entire domain name and the length of its leftmost label. The vulnerable code may be part of the supply chain of a site's e-mail infrastructure (e.g., with additional configuration, Exim can use libspf2; the Postfix web site links to unofficial patches for use of libspf2 with Postfix; older versions of spfquery relied on libspf2) but most often is not.","","heap-based buffer overflow","","heap-based buffer overflow","execute arbitrary code","crafted SPF DNS record","remote attackers","libspf2","before 1.2.11","SPF_record_expand_data in spf_expand.c","","nan, execute, arbitrary, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""crafted SPF DNS record"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""libspf2"", ""VERSION"": ""before 1.2.11"", ""COMPONENT"": ""SPF_record_expand_data in spf_expand.c""}"
"CVE-2021-33945","RICOH Printer series SP products 320DN, SP 325DNw, SP 320SN, SP 320SFN, SP 325SNw, SP 325SFNw, SP 330SN, Aficio SP 3500SF, SP 221S, SP 220SNw, SP 221SNw, SP 221SF, SP 220SFNw, SP 221SFNw v1.06 were discovered to contain a stack buffer overflow in the file /etc/wpa_supplicant.conf. This vulnerability allows attackers to cause a Denial of Service (DoS) via crafted overflow data.","","stack buffer overflow","","stack buffer overflow","Denial of Service (DoS)","crafted overflow data","","RICOH Printer series SP","v1.06","file /etc/wpa_supplicant.conf","","service, dos, of, nan, denial","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""Denial of Service (DoS)"", ""VECTOR"": ""crafted overflow data"", ""ATTACKER"": null, ""PRODUCT"": ""RICOH Printer series SP"", ""VERSION"": ""v1.06"", ""COMPONENT"": ""file /etc/wpa_supplicant.conf""}"
"CVE-2021-3434","Stack based buffer overflow in le_ecred_conn_req(). Zephyr versions >= v2.5.0 Stack-based Buffer Overflow (CWE-121). For more information, see https://github.com/zephyrproject-rtos/zephyr/security/advisories/GHSA-8w87-6rfp-cfrm","","Stack based buffer overflow","","Stack based buffer overflow","","","","Zephyr",">= v2.5.0","le_ecred_conn_req()","","","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Stack based buffer overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Zephyr"", ""VERSION"": "">= v2.5.0"", ""COMPONENT"": ""le_ecred_conn_req()""}"
"CVE-2021-34583","Crafted web server requests may cause a heap-based buffer overflow and could therefore trigger a denial-of- service condition due to a crash in the CODESYS V2 web server prior to V1.1.9.22.","","heap-based buffer overflow","","heap-based buffer overflow","denial-of-service condition due to a crash","Crafted web server requests","","CODESYS V2 web server","prior to V1.1.9.22","","","condition, service, of, due, nan, to, denial, a, crash","{""ROOTCAUSE"": null, ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""denial-of-service condition due to a crash"", ""VECTOR"": ""Crafted web server requests"", ""ATTACKER"": null, ""PRODUCT"": ""CODESYS V2 web server"", ""VERSION"": ""prior to V1.1.9.22"", ""COMPONENT"": null}"
"CVE-2021-34874","This vulnerability allows remote attackers to execute arbitrary code on affected installations of Bentley View 10.15.0.75. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the processing of 3DS files. The issue results from the lack of proper validation of user-supplied data, which can result in a memory corruption condition. An attacker can leverage this vulnerability to execute code in the context of the current process. Was ZDI-CAN-14736.","CWE-20->CWE-787, CWE-20->CWE-416","Out of Bounds","lack of proper validation of user-supplied data","memory corruption","execute arbitrary code","malicious page or file","remote attackers","Bentley View","10.15.0.75","processing of 3DS files","","proper, execute, arbitrary, lack, memory, data, corruption, validation, user, supplied, code","{""ROOTCAUSE"": ""lack of proper validation of user-supplied data"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""malicious page or file"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""Bentley View"", ""VERSION"": ""10.15.0.75"", ""COMPONENT"": ""processing of 3DS files""}"
"CVE-2021-34934","This vulnerability allows remote attackers to execute arbitrary code on affected installations of Bentley View 10.15.0.75. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the parsing of JT files. The issue results from the lack of proper validation of user-supplied data, which can result in a memory corruption condition. An attacker can leverage this vulnerability to execute code in the context of the current process. Was ZDI-CAN-14912.","CWE-20->CWE-787, CWE-20->CWE-416","out of bounds","lack of proper validation of user-supplied data","memory corruption","execute arbitrary code","malicious page or file","remote attackers","Bentley View","10.15.0.75","parsing of JT files","","proper, execute, arbitrary, lack, memory, data, corruption, validation, user, supplied, code","{""ROOTCAUSE"": ""lack of proper validation of user-supplied data"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""malicious page or file"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""Bentley View"", ""VERSION"": ""10.15.0.75"", ""COMPONENT"": ""parsing of JT files""}"
"CVE-2021-35005","This vulnerability allows local attackers to disclose sensitive information on affected installations of TeamViewer. An attacker must first obtain the ability to execute low-privileged code on the target system in order to exploit this vulnerability. The specific flaw exists within the TeamViewer service. The issue results from the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated array. An attacker can leverage this in conjunction with other vulnerabilities to execute arbitrary code in the context of SYSTEM. Was ZDI-CAN-13818.","CWE-20->CWE-126","read past the end of an allocated array","lack of proper validation of user-supplied data","read past the end of an allocated array","disclose sensitive information","","local attackers","TeamViewer","","TeamViewer service","","proper, sensitive, disclose, lack, information, data, validation, user, supplied","{""ROOTCAUSE"": ""lack of proper validation of user-supplied data"", ""WEAKNESS"": ""read past the end of an allocated array"", ""IMPACT"": ""disclose sensitive information"", ""VECTOR"": null, ""ATTACKER"": ""local attackers"", ""PRODUCT"": ""TeamViewer"", ""VERSION"": null, ""COMPONENT"": ""TeamViewer service""}"
"CVE-2021-35090","Possible hypervisor memory corruption due to TOC TOU race condition when updating address mappings in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","CWE-367->CWE-787","memory corruption due to TOC TOU","TOC TOU race condition when updating address mappings","","memory corruption","","","Snapdragon","","","","condition, address, mappings, updating, nan, when, race","{""ROOTCAUSE"": ""TOC TOU race condition when updating address mappings"", ""WEAKNESS"": null, ""IMPACT"": ""memory corruption"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": null}"
"CVE-2021-35091","Possible out of bounds read due to improper typecasting while handling page fault for global memory in Snapdragon Connectivity, Snapdragon Mobile","CWE-704->CWE-125","out of bounds read","improper typecasting while handling page fault for global memory","out of bounds read","","","","Snapdragon","","","","memory, handling, global, page, for, improper, nan, typecasting, fault, while","{""ROOTCAUSE"": ""improper typecasting while handling page fault for global memory"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": null}"
"CVE-2021-35098","Improper validation of session id in PCM routing process can lead to memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables","CWE-20->CWE-823->CWE-787","improper validation of session id.","Improper validation of session id","","memory corruption","","","Snapdragon","","PCM routing process","","nan, corruption, memory","{""ROOTCAUSE"": ""Improper validation of session id"", ""WEAKNESS"": null, ""IMPACT"": ""memory corruption"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": ""PCM routing process""}"
"CVE-2021-35110","Possible buffer overflow to improper validation of hash segment of file while allocating memory in Snapdragon Connectivity, Snapdragon Mobile","CWE-704->CWE-119","buffer overflow","improper validation of hash segment of file while allocating memory","buffer overflow","","","","Snapdragon","","","","memory, of, improper, validation, allocating, segment, nan, file, while, hash","{""ROOTCAUSE"": ""improper validation of hash segment of file while allocating memory"", ""WEAKNESS"": ""buffer overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": null}"
"CVE-2021-35120","Improper handling between export and release functions on the same handle from client can lead to use after free in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","","use after free","Improper handling between export and release functions on the same handle from client","use after free","","","","Snapdragon","","","","handle, export, handling, same, improper, nan, between, the, from, functions, on, client, and, release","{""ROOTCAUSE"": ""Improper handling between export and release functions on the same handle from client"", ""WEAKNESS"": ""use after free"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": null}"
"CVE-2021-35121","An array index is improperly used to lock and unlock a mutex which can lead to a Use After Free condition In the Synx driver in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","CWE-129->CWE-416","improper validation of array index","improper validation of array index","Use After Free","","","","Snapdragon","","Synx driver","","nan, free, use, after","{""ROOTCAUSE"": ""improper validation of array index"", ""WEAKNESS"": ""Use After Free"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": ""Synx driver""}"
"CVE-2021-35132","Out of bound write in DSP service due to improper bound check for response buffer size in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables","CWE-1284->CWE-823->CWE-787","out of bounds write","improper bound check for response buffer size","Out of bound write","","","","Snapdragon","","DSP service","","size, check, buffer, for, response, improper, nan, bound","{""ROOTCAUSE"": ""improper bound check for response buffer size"", ""WEAKNESS"": ""Out of bound write"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": ""DSP service""}"
"CVE-2021-35134","Due to insufficient validation of ELF headers, an Incorrect Calculation of Buffer Size can occur in Boot leading to memory corruption in Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","CWE-20->CWE-131->CWE-787","insufficient validation... Incorrect Calculation of Buffer Size... memory corruption","insufficient validation | Incorrect Calculation of Buffer Size"," ","memory corruption"," "," ","Snapdragon Connectivity Snapdragon Industrial IOT Snapdragon Mobile","","Boot","","","{""ROOTCAUSE"": [""insufficient validation "", "" Incorrect Calculation of Buffer Size""], ""WEAKNESS"": "" "", ""IMPACT"": ""memory corruption"", ""VECTOR"": "" "", ""ATTACKER"": "" "", ""PRODUCT"": ""Snapdragon Connectivity Snapdragon Industrial IOT Snapdragon Mobile"", ""VERSION"": null, ""COMPONENT"": ""Boot""}"
